Question,Answer
What is imperialism?,"Imperialism is a system where a powerful country dominates other countries politically, economically, and militarily, establishing an empire."
What led to the Industrial Revolution?,"The Industrial Revolution began in the late 18th century, marked by technological innovations like steam-powered machines and the rise of factories, starting in England."
How did capitalism rise in Europe?,"Capitalism in Europe rose with the accumulation of wealth through trade, supported by the discovery of sea routes and the establishment of trading companies."
What is the significance of the Battle of Plassey?,"The Battle of Plassey in 1757 marked the beginning of British political control in India, as the British East India Company defeated Nawab Siraj-ud-Daulah."
Who was Tipu Sultan?,"Tipu Sultan, the ruler of Mysore, was a fierce opponent of British expansion in India, known for his resistance and innovations in military technology."
What was the Subsidiary Alliance?,"Introduced by Lord Wellesley, the Subsidiary Alliance forced Indian rulers to accept British military presence, losing their independence in the process."
What were the effects of the Industrial Revolution on India?,"The Industrial Revolution led to the decline of traditional Indian industries and the rise of factory-based production in Europe, impacting India's economy."
What was the Doctrine of Lapse?,The Doctrine of Lapse was a policy by Lord Dalhousie where princely states without a male heir were annexed by the British.
What were the Carnatic Wars?,"The Carnatic Wars were a series of conflicts between the British and the French in India during the 18th century, ending with British dominance."
Why was the Bengal region significant to the British?,"Bengal was prosperous and strategically important, making it the first region where the British East India Company established strong control."
What is the Age of Revolutions?,"The Age of Revolutions refers to the late 18th and early 19th centuries, marked by events like the American and French Revolutions that reshaped politics and society."
What role did maps and drawings play during British rule?,"Maps and architectural plans helped the British survey and administer regions in India, aiding in urban and trade development."
What is the period known as the Renaissance in Europe?,"The Renaissance in Europe refers to the period from the 13th to the 16th century, marked by a revival of Greek and Roman traditions in art, architecture, philosophy, and the emergence of humanitarianism."
Who invented the printing press and when?,Johannes Gutenberg invented the printing press around 1450 AD in Germany.
Who was Leonardo da Vinci and what are his famous works?,"Leonardo da Vinci was a renowned polymath of the Renaissance era, excelling in various fields such as art, science, and engineering. His famous works include the paintings 'Mona Lisa' and 'The Last Supper'."
What major event occurred in 1453?,"In 1453, the Ottoman Turks conquered Constantinople (modern-day Istanbul), which was the capital of the Byzantine Empire."
"When did Vasco da Gama reach India, and where?","Vasco da Gama, a Portuguese sailor, reached Calicut on the Indian coast in 1498 AD."
What was the American War of Independence?,"The American War of Independence was a conflict between the American colonies and England, fought from 1775 to 1783. It resulted in the formation of the United States of America."
What are the three values associated with the French Revolution?,"The French Revolution, which began in 1789 AD, is associated with the values of Liberty, Equality, and Fraternity."
What was the Industrial Revolution?,"The Industrial Revolution began in the late 18th century and involved the shift from hand production methods to machines, leading to industrial growth and technological innovations."
What is colonialism?,Colonialism refers to the practice where a powerful country exploits another region or country by making it a colony for economic and political gain.
Who were the key figures in the Battle of Plassey in 1757?,"The Battle of Plassey in 1757 involved Siraj-ud-Daulah, the Nawab of Bengal, and Robert Clive of the British East India Company. Clive's diplomatic efforts and betrayal by Mir Jafar led to the British victory."
When and why was the Treaty of Allahabad signed?,"The Treaty of Allahabad was signed in 1765 after the Battle of Buxar. It granted the British East India Company the right to collect revenue in Bengal, Bihar, and Orissa."
"Who was Tipu Sultan, and how did he resist the British?",Tipu Sultan was the ruler of Mysore who fiercely resisted British expansion. He fought against the British in several wars and died defending his territory at the Battle of Srirangapatna in 1799.
What changes were introduced by the Subsidiary Alliance?,"The Subsidiary Alliance, introduced by Lord Wellesley, required Indian rulers to accept British military presence and pay for their maintenance, effectively reducing their sovereignty."
What was the outcome of the struggle of 1857?,The struggle of 1857 marked the end of the East India Company's rule and led to the establishment of direct British governance in India under the Government of India Act 1858. Queen Victoria's proclamation assured no further interference in social and religious matters.
1947,"India gained independence from British rule on August 15, 1947."
1857,"The Revolt of 1857, also called the First War of Independence, took place during this year."
1757,"The Battle of Plassey occurred in 1757, marking the beginning of British colonial rule in India."
1498,"Portuguese sailor Vasco da Gama arrived at Calicut, India, establishing a sea route from Europe."
1829,The Sati Prohibition Act was passed by Lord William Bentinck in 1829.
1913,"Dadasaheb Phalke released the first Indian feature film, 'Raja Harishchandra,' in 1913."
Rani Laxmibai,"Rani Laxmibai of Jhansi was a key leader in the 1857 revolt against British rule, known for her bravery and leadership."
Mahatma Gandhi,"Mahatma Gandhi was a leader of India's independence movement, known for his philosophy of nonviolence and key role in events like the Dandi March and Quit India Movement."
Leonardo da Vinci,Leonardo da Vinci was a Renaissance polymath famous for his masterpieces 'Mona Lisa' and 'The Last Supper'.
Tipu Sultan,"Tipu Sultan, also known as the Tiger of Mysore, was a valiant warrior who fought against British forces and died in the Battle of Srirangapatna."
Rabindranath Tagore,"Rabindranath Tagore was a Nobel laureate poet and the author of India's national anthem, 'Jana Gana Mana.'"
V.D. Savarkar,"V.D. Savarkar was an Indian independence activist, lawyer, and author of 'The Indian War of Independence 1857.'"
Material sources,"Material sources include objects like monuments, buildings, coins, sculptures, and forts that provide information about historical periods."
Written sources,"Written sources include documents such as newspapers, periodicals, autobiographies, and factory records, which record historical events and thoughts."
Oral sources,"Oral sources include folk songs, Powadas, narrations, and interviews, which preserve traditions and events of historical significance."
1784,The Asiatic Society of Bengal was established by Sir William Jones in 1784 to promote the study of Indian history and culture.
Sir William Jones,"Sir William Jones founded the Asiatic Society of Bengal in 1784, pioneering the study of India's traditions, languages, and culture."
Cellular Jail,The Cellular Jail in Andaman is a historical monument associated with the revolutionary activities of V.D. Savarkar and other freedom fighters.
Newspapers in pre-independence India,"Newspapers like Kesari, Amrit Bazaar Patrika, Deenbandhu, Dnyanprakash, and Dnyanoday played a vital role during pre-independence India."
Powada,Powadas are ballads that narrate the bravery of revolutionaries and significant historical events like the freedom struggle of 1857.
Photography in history,"Photographs are reliable visual sources that provide authentic information about people, events, and places."
